token,symbol,name,exch_seg,clean_symbol
11956,MEDANTA-EQ,MEDANTA,NSE,MEDANTA
11979,HTMEDIA-EQ,HTMEDIA,NSE,HTMEDIA
12022,AURIONPRO-EQ,AURIONPRO,NSE,AURIONPRO
12034,BASML-EQ,BASML,NSE,BASML
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,NSE,HDFCPVTBAN
1247,GSFC-EQ,GSFC,NSE,GSFC
12635,OSIAHYPER-EQ,OSIAHYPER,NSE,OSIAHYPER
1270,AMBUJACEM-EQ,AMBUJACEM,NSE,AMBUJACEM
12686,MBAPL-EQ,MBAPL,NSE,MBAPL
128,ROUTE-EQ,ROUTE,NSE,ROUTE
13126,REPRO-EQ,REPRO,NSE,REPRO
13211,JAGRAN-EQ,JAGRAN,NSE,JAGRAN
13276,LANDMARK-EQ,LANDMARK,NSE,LANDMARK
13367,SGL-EQ,SGL,NSE,SGL
13376,UTTAMSUGAR-EQ,UTTAMSUGAR,NSE,UTTAMSUGAR
13463,PIONEEREMB-EQ,PIONEEREMB,NSE,PIONEEREMB
13491,JKLAKSHMI-EQ,JKLAKSHMI,NSE,JKLAKSHMI
13538,TECHM-EQ,TECHM,NSE,TECHM
13598,ANTELOPUS-EQ,ANTELOPUS,NSE,ANTELOPUS
13611,IRCTC-EQ,IRCTC,NSE,IRCTC
13643,ELECON-EQ,ELECON,NSE,ELECON
13689,AERONEU-EQ,AERONEU,NSE,AERONEU
13776,GESHIP-EQ,GESHIP,NSE,GESHIP
13796,MANALIPETC-EQ,MANALIPETC,NSE,MANALIPETC
13814,KAMOPAINTS-EQ,KAMOPAINTS,NSE,KAMOPAINTS
13826,SOBHA-EQ,SOBHA,NSE,SOBHA
13950,LIQUID1-EQ,LIQUID1,NSE,LIQUID1
14014,LUMAXTECH-EQ,LUMAXTECH,NSE,LUMAXTECH
14068,SAGCEM-EQ,SAGCEM,NSE,SAGCEM
14154,UNOMINDA-EQ,UNOMINDA,NSE,UNOMINDA
14657,INSECTICID-EQ,INSECTICID,NSE,INSECTICID
14762,061NSETEST-EQ,061NSETEST,NSE,061NSETEST
14766,V2RETAIL-EQ,V2RETAIL,NSE,V2RETAIL
14782,151NSETEST-EQ,151NSETEST,NSE,151NSETEST
14784,161NSETEST-EQ,161NSETEST,NSE,161NSETEST
14786,LOWVOL-EQ,LOWVOL,NSE,LOWVOL
14937,CIEINDIA-EQ,CIEINDIA,NSE,CIEINDIA
14947,MOTILALOFS-EQ,MOTILALOFS,NSE,MOTILALOFS
14953,MAG813INAV-EQ,MAG813INAV,NSE,MAG813INAV
15044,DELTACORP-EQ,DELTACORP,NSE,DELTACORP
1507,MOGSEC-EQ,MOGSEC,NSE,MOGSEC
1508,ASTERDM-EQ,ASTERDM,NSE,ASTERDM
15061,PSUBANK-EQ,PSUBANK,NSE,PSUBANK
15129,RGL-EQ,RGL,NSE,RGL
15157,RHL-EQ,RHL,NSE,RHL
15209,PPAP-EQ,PPAP,NSE,PPAP
15219,PATINTLOG-EQ,PATINTLOG,NSE,PATINTLOG
15356,GOLDADD-EQ,GOLDADD,NSE,GOLDADD
1576,GILLETTE-EQ,GILLETTE,NSE,GILLETTE
15555,HCG-EQ,HCG,NSE,HCG
15883,HINDWAREAP-EQ,HINDWAREAP,NSE,HINDWAREAP
1593,MGEL-EQ,MGEL,NSE,MGEL
1594,INFY-EQ,INFY,NSE,INFY
1607,AURIGROW-EQ,AURIGROW,NSE,AURIGROW
1630,IONEXCHANG-EQ,IONEXCHANG,NSE,IONEXCHANG
1633,IPCALAB-EQ,IPCALAB,NSE,IPCALAB
1672,HGINFRA-EQ,HGINFRA,NSE,HGINFRA
16713,UBL-EQ,UBL,NSE,UBL
16725,RPGLIFE-EQ,RPGLIFE,NSE,RPGLIFE
16933,INDBANK-EQ,INDBANK,NSE,INDBANK
16959,ALKALI-EQ,ALKALI,NSE,ALKALI
17022,MAWANASUG-EQ,MAWANASUG,NSE,MAWANASUG
17307,AJMERA-EQ,AJMERA,NSE,AJMERA
17641,SUNTECK-EQ,SUNTECK,NSE,SUNTECK
17651,POKARNA-EQ,POKARNA,NSE,POKARNA
17685,GPTINFRA-EQ,GPTINFRA,NSE,GPTINFRA
17808,QUAL30IETF-EQ,QUAL30IETF,NSE,QUAL30IETF
17822,ICIQ30INAV-EQ,ICIQ30INAV,NSE,ICIQ30INAV
17859,REDTAPE-EQ,REDTAPE,NSE,REDTAPE
17945,COHANCE-EQ,COHANCE,NSE,COHANCE
17999,UNITEDTEA-EQ,UNITEDTEA,NSE,UNITEDTEA
1802,JYOTISTRUC-EQ,JYOTISTRUC,NSE,JYOTISTRUC
18118,THANGAMAYL-EQ,THANGAMAYL,NSE,THANGAMAYL
18139,DOLPHIN-EQ,DOLPHIN,NSE,DOLPHIN
1826,KAMATHOTEL-EQ,KAMATHOTEL,NSE,KAMATHOTEL
18250,PYRAMID-EQ,PYRAMID,NSE,PYRAMID
18252,SPAL-EQ,SPAL,NSE,SPAL
18268,AEROFLEX-EQ,AEROFLEX,NSE,AEROFLEX
18391,RBLBANK-EQ,RBLBANK,NSE,RBLBANK
1841,KCP-EQ,KCP,NSE,KCP
18457,POWERINDIA-EQ,POWERINDIA,NSE,POWERINDIA
